Record ID	PHI_MolConn_ID	IdentifierTypeOfProteinID	ProteinID	IdentifierTypeOfGeneLocusID	GeneLocusID	AA sequence #no EMBL#	NT sequence #no EMBL#	Genomic sequence providing strain	Gene_name	Genome location	Specific modification/s to the targeted protein or promoter	Accession ID for the modified genetic element  	Known interacting protein(s) in the pathogen	Interacting protein - locus ID 	Multiple_mutation	Pathogen_NCBI_species_Taxonomy ID	Pathogen_species	Pathogen_NCBI_strain_Taxonomy_ID	Experimental_strain	Disease_name	Host_descripton	Host_NCBI_Taxonomy_ID	Experimental_host_species	Host_strain_genotype_or cultivar_taxonomy_ID_NCBI	HostGenotype_definedGene of interest	HostGenotype_definedGene of interest _AccessionID	tissue_type	Function	GO_annotation	Database	Pathway_secretion_systems	Phenotype_of_mutant	Mating_defect_prior_to_penetration	Pre_penetration_defect	Penetration_defect	Post_penetration_defect	Disease_development_macroscopically_visible	Vegetative_spores	Sexual_spores	In_vitro_growth	Spore_germination	Essential_gene_Lethal_knockout	Inducer	ChemicalAccession (Chebi/CAS)	Tested Host_target	TestedHostTarget_AccessionID	Interaction phenotype	Host_response	Experimental_evidence	Transient Assay Experimental Evidence	Species_Expert	Entered_by	Literature_ID	Literature_source	DOI	Full_citation	Author_email	Comments	Reference 	Year_published	Curation details	File_name_pdf_files_provided	_batch_no_	Curated(Month/Year)	_curator_organisation_	__lab__	__FG_mycotoxin__	Additional IdentifierTypeOfGeneLocusID	Additional GeneLocusID	Anti-infective (Chemical)	Compound	Target site	Group name	Chemical group	Mode in planta	FRAC CODE	Additional comments  on anti-infectives	phi3_pars											
Record 4364	PHI:3630	Uniprot	L7N655	Genbank	AFN50433	no data found	no data found	H37Rv	Rv2467	no data found	no data found	no data found	no data found	no data found	no	1773	Mycobacterium tuberculosis	83332	H37Rv	tuberculosis	Rodents	10090	Mus musculus (related: House mouse)	SCID	no data found	no data found	no data found	Probable aminopeptidase	no data found	no data found	no data found	increased virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found	no data found	no data found	no data found	Gene mutation	no data found		RP	12368431	Pubmed	no data found	Microbiology. 2002 Oct;148(Pt 10):2975-86	kd9430@gsk.com	no data found	R A McAdam 2002	2002	18 genes	McAdam-2002-Characterization of a Mycobacteriu	Batch045A	Feb-15	MC																								
Record 4365	PHI:3631	Uniprot	O06806	Genbank	AFN49702	no data found	no data found	H37Rv	Rv1773c	no data found	no data found	no data found	no data found	no data found	no	1773	Mycobacterium tuberculosis	83332	H37Rv	tuberculosis	Rodents	10090	Mus musculus (related: House mouse)	SCID	no data found	no data found	no data found	Transcriptional regulator (IclR family)	no data found	no data found	no data found	increased virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found	no data found	no data found	no data found	Gene mutation	no data found		RP	12368431	Pubmed	no data found	Microbiology. 2002 Oct;148(Pt 10):2975-86	kd9430@gsk.com	no data found	R A McAdam 2002	2002	18 genes	McAdam-2002-Characterization of a Mycobacteriu	Batch045A	Feb-15	MC																								
Record 4366	PHI:3632	Uniprot	P9WIP7	Genbank	CCP46420	no data found	no data found	H37Rv	Rv3597c	no data found	no data found	no data found	no data found	no data found	no	1773	Mycobacterium tuberculosis	83332	H37Rv	tuberculosis	Rodents	10090	Mus musculus (related: House mouse)	SCID	no data found	no data found	no data found	Lsr2 homologue	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found	no data found	no data found	no data found	Gene mutation	no data found		RP	12368431	Pubmed	no data found	Microbiology. 2002 Oct;148(Pt 10):2975-86	kd9430@gsk.com	no data found	R A McAdam 2002	2002	18 genes	McAdam-2002-Characterization of a Mycobacteriu	Batch045A	Feb-15	MC																								
Record 4367	PHI:3633	Uniprot	Q6MX39	Genbank	AFN48327	no data found	no data found	H37Rv	Rv0469	no data found	no data found	no data found	no data found	no data found	no	1773	Mycobacterium tuberculosis	83332	H37Rv	tuberculosis	Rodents	10090	Mus musculus (related: House mouse)	SCID	no data found	no data found	no data found	Unknown mycolic acid methyltransferase	no data found	no data found	no data found	increased virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found	no data found	no data found	no data found	Gene mutation	no data found		RP	12368431	Pubmed	no data found	Microbiology. 2002 Oct;148(Pt 10):2975-86	kd9430@gsk.com	no data found	R A McAdam 2002	2002	18 genes	McAdam-2002-Characterization of a Mycobacteriu	Batch045A	Feb-15	MC																								
Record 4368	PHI:3634	Uniprot	O05877	Genbank	ABQ58103	no data found	no data found	H37Rv	Rv3232c	no data found	no data found	no data found	no data found	no data found	no	1773	Mycobacterium tuberculosis	83332	H37Rv	tuberculosis	Rodents	10090	Mus musculus (related: House mouse)	SCID	no data found	no data found	no data found	"Unknown, possible transcriptional regulator"	no data found	no data found	no data found	reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found	no data found	no data found	no data found	Gene mutation	no data found		RP	12368431	Pubmed	no data found	Microbiology. 2002 Oct;148(Pt 10):2975-86	kd9430@gsk.com	no data found	R A McAdam 2002	2002	18 genes	McAdam-2002-Characterization of a Mycobacteriu	Batch045A	Feb-15	MC																								
Record 4369	PHI:3635	Uniprot	P9WG11	Genbank	CAA53045	no data found	no data found	H37Rv	Rv0930	no data found	no data found	no data found	no data found	no data found	no	1773	Mycobacterium tuberculosis	83332	H37Rv	tuberculosis	Rodents	10090	Mus musculus (related: House mouse)	SCID	no data found	no data found	no data found	PstA component of phosphate uptake	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found	no data found	no data found	no data found	Gene mutation	no data found		RP	12368431	Pubmed	no data found	Microbiology. 2002 Oct;148(Pt 10):2975-86	kd9430@gsk.com	no data found	R A McAdam 2002	2002	18 genes	McAdam-2002-Characterization of a Mycobacteriu	Batch045A	Feb-15	MC																								
Record 4370	PHI:3636	Uniprot	P9WIN1	Genbank	AAC43638	no data found	no data found	H37Rv	Rv2702	no data found	no data found	no data found	no data found	no data found	no	1773	Mycobacterium tuberculosis	83332	H37Rv	tuberculosis	Rodents	10090	Mus musculus (related: House mouse)	SCID	no data found	no data found	no data found	Polyphosphate glucokinase	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found	no data found	no data found	no data found	Gene mutation	no data found		RP	12368431	Pubmed	no data found	Microbiology. 2002 Oct;148(Pt 10):2975-86	kd9430@gsk.com	no data found	R A McAdam 2002	2002	18 genes	McAdam-2002-Characterization of a Mycobacteriu	Batch045A	Feb-15	MC																								
Record 4371	PHI:3637	Uniprot	O05895	Genbank	AFN51257	no data found	no data found	H37Rv	Rv3252c	no data found	no data found	no data found	no data found	no data found	no	1773	Mycobacterium tuberculosis	83332	H37Rv	tuberculosis	Rodents	10090	Mus musculus (related: House mouse)	SCID	no data found	no data found	no data found	Possible alkane-1-monooxygenase	no data found	no data found	no data found	increased virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found	no data found	no data found	no data found	Gene mutation	no data found		RP	12368431	Pubmed	no data found	Microbiology. 2002 Oct;148(Pt 10):2975-86	kd9430@gsk.com	no data found	R A McAdam 2002	2002	18 genes	McAdam-2002-Characterization of a Mycobacteriu	Batch045A	Feb-15	MC																								
Record 4372	PHI:3638	Uniprot	O06567	Genbank	AFN49013	no data found	no data found	H37Rv	Rv1115	no data found	no data found	no data found	no data found	no data found	no	1773	Mycobacterium tuberculosis	83332	H37Rv	tuberculosis	Rodents	10090	Mus musculus (related: House mouse)	SCID	no data found	no data found	no data found	Export protein	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found	no data found	no data found	no data found	Gene mutation	no data found		RP	12368431	Pubmed	no data found	Microbiology. 2002 Oct;148(Pt 10):2975-86	kd9430@gsk.com	no data found	R A McAdam 2002	2002	18 genes	McAdam-2002-Characterization of a Mycobacteriu	Batch045A	Feb-15	MC																								
Record 4373	PHI:3639	Uniprot	P9WM61	Genbank	CCP42829	no data found	no data found	H37Rv	Rv0104	no data found	no data found	no data found	no data found	no data found	no	1773	Mycobacterium tuberculosis	83332	H37Rv	tuberculosis	Rodents	10090	Mus musculus (related: House mouse)	SCID	no data found	no data found	no data found	Hypothetical protein	no data found	no data found	no data found	reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found	no data found	no data found	no data found	Gene mutation	no data found		RP	12368431	Pubmed	no data found	Microbiology. 2002 Oct;148(Pt 10):2975-86	kd9430@gsk.com	no data found	R A McAdam 2002	2002	18 genes	McAdam-2002-Characterization of a Mycobacteriu	Batch045A	Feb-15	MC																								
Record 4374	PHI:3640	Uniprot	P9WKN9	Genbank	CCP43690	no data found	no data found	H37Rv	Rv0942	no data found	no data found	no data found	no data found	no data found	no	1773	Mycobacterium tuberculosis	83332	H37Rv	tuberculosis	Rodents	10090	Mus musculus (related: House mouse)	SCID	no data found	no data found	no data found	Hypothetical protein	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found	no data found	no data found	no data found	Gene mutation	no data found		RP	12368431	Pubmed	no data found	Microbiology. 2002 Oct;148(Pt 10):2975-86	kd9430@gsk.com	no data found	R A McAdam 2002	2002	18 genes	McAdam-2002-Characterization of a Mycobacteriu	Batch045A	Feb-15	MC																								
Record 4375	PHI:3641	Uniprot	L0T8G6	Genbank	CCP43797	no data found	no data found	H37Rv	Rv1046c	no data found	no data found	no data found	no data found	no data found	no	1773	Mycobacterium tuberculosis	83332	H37Rv	tuberculosis	Rodents	10090	Mus musculus (related: House mouse)	SCID	no data found	no data found	no data found	Hypothetical protein	no data found	no data found	no data found	reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found	no data found	no data found	no data found	Gene mutation	no data found		RP	12368431	Pubmed	no data found	Microbiology. 2002 Oct;148(Pt 10):2975-86	kd9430@gsk.com	no data found	R A McAdam 2002	2002	18 genes	McAdam-2002-Characterization of a Mycobacteriu	Batch045A	Feb-15	MC																								
Record 4376	PHI:3642	Uniprot	P9WKZ3	Genbank	CCP46226	no data found	no data found	H37Rv	Rv3404c	no data found	no data found	no data found	no data found	no data found	no	1773	Mycobacterium tuberculosis	83332	H37Rv	tuberculosis	Rodents	10090	Mus musculus (related: House mouse)	SCID	no data found	no data found	no data found	Hypothetical protein	no data found	no data found	no data found	reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found	no data found	no data found	no data found	Gene mutation	no data found		RP	12368431	Pubmed	no data found	Microbiology. 2002 Oct;148(Pt 10):2975-86	kd9430@gsk.com	no data found	R A McAdam 2002	2002	18 genes	McAdam-2002-Characterization of a Mycobacteriu	Batch045A	Feb-15	MC																								
Record 4377	PHI:3643	Uniprot	P9WM35	Genbank	CCP44046	no data found	no data found	H37Rv	Rv1290c	no data found	no data found	no data found	no data found	no data found	no	1773	Mycobacterium tuberculosis	83332	H37Rv	tuberculosis	Rodents	10090	Mus musculus (related: House mouse)	SCID	no data found	no data found	no data found	Conserved hypothetical protein	no data found	no data found	no data found	reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found	no data found	no data found	no data found	Gene mutation	no data found		RP	12368431	Pubmed	no data found	Microbiology. 2002 Oct;148(Pt 10):2975-86	kd9430@gsk.com	no data found	R A McAdam 2002	2002	18 genes	McAdam-2002-Characterization of a Mycobacteriu	Batch045A	Feb-15	MC																								
Record 4378	PHI:3644	Uniprot	O07741	Genbank	AFN49822	no data found	no data found	H37Rv	Rv1891c	no data found	no data found	no data found	no data found	no data found	no	1773	Mycobacterium tuberculosis	83332	H37Rv	tuberculosis	Rodents	10090	Mus musculus (related: House mouse)	SCID	no data found	no data found	no data found	Conserved hypothetical protein	no data found	no data found	no data found	reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found	no data found	no data found	no data found	Gene mutation	no data found		RP	12368431	Pubmed	no data found	Microbiology. 2002 Oct;148(Pt 10):2975-86	kd9430@gsk.com	no data found	R A McAdam 2002	2002	18 genes	McAdam-2002-Characterization of a Mycobacteriu	Batch045A	Feb-15	MC																								
Record 4379	PHI:3645	Uniprot	Q8YFR7 	Genbank	AAL52634	no data found	no data found	16M	bpdA	no data found	no data found	no data found	no data found	no data found	no	29459	Brucella melitensis	224914	16M	Ovine Brucellosis	Rodents	10090	Mus musculus (related: House mouse)	IRF-1/ -	no data found	no data found	spleen	cyclic-di-GMP-specific phosphodiesterase	no data found	no data found	no data found	loss of pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; gene complementation	no data found		RP	21856843	Pubmed	10.1128/JB.00428-11	J Bacteriol. 2011 Oct;193(20):5683-91	Splitter@svm.vetmed.wisc.edu	no data found	E Petersen 2011	2011	3 genes	Petersen-2011-Brucella melitensis cyclic di-GM	Batch045A	Feb-15	MC																								
Record 4380	PHI:3646	Uniprot	Q8YFS2	Genbank	AAL52629	no data found	no data found	16M	bpdB	no data found	no data found	no data found	no data found	no data found	no	29459	Brucella melitensis	224914	16M	Ovine Brucellosis	Rodents	10090	Mus musculus (related: House mouse)	IRF-1/ -	no data found	no data found	spleen	cyclic-di-GMP-specific phosphodiesterase	no data found	no data found	no data found	reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; gene complementation	no data found		RP	21856843	Pubmed	10.1128/JB.00428-11	J Bacteriol. 2011 Oct;193(20):5683-91	Splitter@svm.vetmed.wisc.edu	no data found	E Petersen 2011	2011	3 genes	Petersen-2011-Brucella melitensis cyclic di-GM	Batch045A	Feb-15	MC																								
Record 4381	PHI:3647	Uniprot	Q8YFK0	Genbank	AAL52701	no data found	no data found	16M	cgsB	no data found	no data found	no data found	no data found	no data found	no	29459	Brucella melitensis	224914	16M	Ovine Brucellosis	Rodents	10090	Mus musculus (related: House mouse)	IRF-1/ -	no data found	no data found	spleen	cyclic-di-GMP-specific phosphodiesterase	no data found	no data found	no data found	increased virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; gene complementation	no data found		RP	21856843	Pubmed	10.1128/JB.00428-11	J Bacteriol. 2011 Oct;193(20):5683-91	Splitter@svm.vetmed.wisc.edu	no data found	E Petersen 2011	2011	3 genes	Petersen-2011-Brucella melitensis cyclic di-GM	Batch045A	Feb-15	MC																								
Record 4382	PHI:3648	Uniprot	A7DV80	Genbank	CAL25382	no data found	no data found	CECT4999=R99	vep20	no data found	no data found	no data found	no data found	no data found	no	672	Vibrio vulnificus	196600	YJ016	Vibriosis	Rodents	10090	Mus musculus (related: House mouse)	BALB/c	no data found	no data found	liver; kidney; spleen	Transferrin receptors	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found	no data found	no data found	no data found	Gene mutation; gene complementation	no data found		RP	25630302	Pubmed	10.1111/1462-2920.12782	Environ Microbiol. 2015 Jan 29	carmen.amaro@uv.es	no data found	D Pajuelo 2015	2015	3 genes	Pajuelo-2015-Novel host-specific iron acquisit	Batch045A	Feb-15	MC																								
Record 4383	PHI:3648	Uniprot	A7DV80	Genbank	CAL25382	no data found	no data found	CECT4999=R99	vep20	no data found	no data found	no data found	no data found	no data found	no	672	Vibrio vulnificus	196600	YJ016	Vibriosis	Bony fishes	7936	Anguilla anguilla (related: European eel)	no data found	no data found	no data found	liver; kidney; spleen; gills	Transferrin receptors	no data found	no data found	no data found	loss of pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found	no data found	no data found	no data found	Gene mutation; gene complementation	no data found		RP	25630302	Pubmed	10.1111/1462-2920.12782	Environ Microbiol. 2015 Jan 29	carmen.amaro@uv.es	no data found	D Pajuelo 2015	2015	3 genes	Pajuelo-2015-Novel host-specific iron acquisit	Batch045A	Feb-15	MC																								
Record 4384	PHI:3648	Uniprot	A7DV80	Genbank	CAL25382	no data found	no data found	CECT4999=R99	vep20	no data found	no data found	no data found	no data found	no data found	PHI:3649; PHI:3650	672	Vibrio vulnificus	196600	YJ016	Vibriosis	Bony fishes	7936	Anguilla anguilla (related: European eel)	no data found	no data found	no data found	liver; kidney; spleen; gills	Transferrin receptors	no data found	no data found	no data found	loss of pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found	no data found	no data found	no data found	Gene mutation; gene complementation	no data found		RP	25630302	Pubmed	10.1111/1462-2920.12782	Environ Microbiol. 2015 Jan 29	carmen.amaro@uv.es	no data found	D Pajuelo 2015	2015	3 genes	Pajuelo-2015-Novel host-specific iron acquisit	Batch045A	Feb-15	MC																								
Record 4385	PHI:3649	Uniprot	Q9L9Z9	Genbank	AF156494_1	no data found	no data found	MO6-24	vuuA	no data found	no data found	no data found	no data found	no data found	PHI:3648;PHI:3650	672	Vibrio vulnificus	196600	YJ016	Vibriosis	Bony fishes	7936	Anguilla anguilla (related: European eel)	no data found	no data found	no data found	liver; kidney; spleen; gills	Vulnibactin outer membrane receptor	no data found	no data found	no data found	loss of pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found	no data found	no data found	no data found	Gene mutation; gene complementation	no data found		RP	25630302	Pubmed	10.1111/1462-2920.12782	Environ Microbiol. 2015 Jan 29	carmen.amaro@uv.es	no data found	D Pajuelo 2015	2015	3 genes	Pajuelo-2015-Novel host-specific iron acquisit	Batch045A	Feb-15	MC																								
Record 4386	PHI:3650	Uniprot	Q8GRB8	Genbank	BAC15762	no data found	no data found	L-180	hupA	no data found	no data found	no data found	no data found	no data found	PHI:3648; PHI:3649	672	Vibrio vulnificus	196600	YJ016	Vibriosis	Bony fishes	7936	Anguilla anguilla (related: European eel)	no data found	no data found	no data found	liver; kidney; spleen; gills	receptor	no data found	no data found	no data found	loss of pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found	no data found	no data found	no data found	Gene mutation; gene complementation	no data found		RP	25630302	Pubmed	10.1111/1462-2920.12782	Environ Microbiol. 2015 Jan 29	carmen.amaro@uv.es	no data found	D Pajuelo 2015	2015	3 genes	Pajuelo-2015-Novel host-specific iron acquisit	Batch045A	Feb-15	MC																								
Record 4387	PHI:3651	Uniprot	H8M532	Genbank	AFD58524	no data found	no data found	798	pcgL	no data found	no data found	no data found	no data found	no data found	no	28901	Salmonella enterica	90371	serovar Typhimurium 14028s	Salmonellosis	Rodents	10090	Mus musculus (related: House mouse)	C3H/HeN	no data found	no data found	liver; spleen	D-Ala-D-Ala dipeptidase	no data found	no data found	no data found	increased virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	wild type	no data found	no	no data found	no data found	Periplasm	no data found	no data found	no data found	Gene mutation; gene complementation	no data found		RP	12180921	Pubmed	10.1046/j.1365-2958.2002.03070.x 	Mol Microbiol. 2002 Aug;45(4):1019-27	groisman@borcim.wustl.edu	The pcgL mutant was unable to grow on D-Ala-D-Ala as sole carbon source and was defective for survival in nutrient-poor conditions.	C Mouslim 2002	2002	1 gene	Mouslim-2002-Conflicting needs for a Salmonell	Batch045A	Feb-15	MC																								
Record 4388	PHI:3651	Uniprot	H8M532	Genbank	AFD58524	no data found	no data found	798	pcgL	no data found	no data found	no data found	no data found	no data found	no	28901	Salmonella enterica	90371	serovar Typhimurium 14028s	Salmonellosis	Rodents	10090	Mus musculus (related: House mouse)	CBA/J 	no data found	no data found	liver; spleen	D-Ala-D-Ala dipeptidase	no data found	no data found	no data found	increased virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	wild type	no data found	no	no data found	no data found	Periplasm	no data found	no data found	no data found	Gene mutation; gene complementation	no data found		RP	12180921	Pubmed	10.1046/j.1365-2958.2002.03070.x 	Mol Microbiol. 2002 Aug;45(4):1019-27	groisman@borcim.wustl.edu	The pcgL mutant was unable to grow on D-Ala-D-Ala as sole carbon source and was defective for survival in nutrient-poor conditions.	C Mouslim 2002	2002	1 gene	Mouslim-2002-Conflicting needs for a Salmonell	Batch045A	Feb-15	MC																								
Record 4389	PHI:3652	Uniprot	Q71VZ1	Genbank	AAT05525	no data found	no data found	F2365	gshF	no data found	no data found	no data found	no data found	no data found	no	1639	Listeria monocytogenes	393133	10403S	Listeriosis	Rodents	10090	Mus musculus (related: House mouse)	CD-1	no data found	no data found	liver	Glutathione biosynthesis	no data found	no data found	no data found	reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	wild type	no data found	no	no data found	no data found	no data found	no data found	no data found	no data found	Gene mutation; gene complementation	no data found		RP	25567281	Pubmed	10.1038/nature14029	Nature. 2015 Jan 8;517(7533):170-3	portnoy@berkeley.edu	"The DgshFwas not attenuated during infection due to a general loss of fitness, but rather, due to a dysregulation of virulence genes."	M L Reniere 2015	2015	2 genes	Reniere-2015-Glutathione activates virulence g	Batch045A	Feb-15	MC																								
Record 4390	PHI:3653	Uniprot	Q4TVQ0	Genbank	AAY54617	no data found	no data found	10403S	PrfA	no data found	no data found	no data found	no data found	no data found	no	1639	Listeria monocytogenes	393133	10403S	Listeriosis	Rodents	10090	Mus musculus (related: House mouse)	CD-1	no data found	no data found	liver	Listeriolysin positive regulatory factor	no data found	no data found	no data found	reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found	no data found	no data found	no data found	Gene mutation; gene complementation	no data found		RP	25567281	Pubmed	10.1038/nature14029	Nature. 2015 Jan 8;517(7533):170-3	portnoy@berkeley.edu	"The DgshFwas not attenuated during infection due to a general loss of fitness, but rather, due to a dysregulation of virulence genes."	M L Reniere 2015	2015	2 genes	Reniere-2015-Glutathione activates virulence g	Batch045A	Feb-15	MC																								
Record 4391	PHI:3652	Uniprot	Q71VZ1	Genbank	AAT05525	no data found	no data found	F2365	gshF	no data found	no data found	no data found	no data found	no data found	PHI:3653	1639	Listeria monocytogenes	393133	10403S	Listeriosis	Rodents	10090	Mus musculus (related: House mouse)	CD-1	no data found	no data found	liver	Glutathione biosynthesis	no data found	no data found	no data found	loss of pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	wild type	no data found	no	no data found	no data found	no data found	no data found	no data found	no data found	Gene mutation; gene complementation	no data found		RP	25567281	Pubmed	10.1038/nature14029	Nature. 2015 Jan 8;517(7533):170-3	portnoy@berkeley.edu	"The DgshFwas not attenuated during infection due to a general loss of fitness, but rather, due to a dysregulation of virulence genes."	M L Reniere 2015	2015	2 genes	Reniere-2015-Glutathione activates virulence g	Batch045A	Feb-15	MC																								
Record 4392	PHI:3653	Uniprot	Q4TVQ0	Genbank	AAY54617	no data found	no data found	10403S	PrfA	no data found	no data found	no data found	no data found	no data found	PHI:3652	1639	Listeria monocytogenes	393133	10403S	Listeriosis	Rodents	10090	Mus musculus (related: House mouse)	CD-1	no data found	no data found	liver	Listeriolysin positive regulatory factor	no data found	no data found	no data found	loss of pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no	no data found	no data found	no data found	no data found	no data found	no data found	Gene mutation; gene complementation	no data found		RP	25567281	Pubmed	10.1038/nature14029	Nature. 2015 Jan 8;517(7533):170-3	portnoy@berkeley.edu	"The DgshFwas not attenuated during infection due to a general loss of fitness, but rather, due to a dysregulation of virulence genes."	M L Reniere 2015	2015	2 genes	Reniere-2015-Glutathione activates virulence g	Batch045A	Feb-15	MC																								
Record 4393	PHI:3654	Uniprot	Q5AKZ4	Genbank	EAL03420	no data found	no data found	SC5314	Mcu1	no data found	no data found	no data found	no data found	no data found	no	5476	Candida albicans	237561	SC5314	disseminated candidiasis	Rodents	10090	Mus musculus (related: House mouse)	BALB/c	no data found	no data found	kidneys; spleen	N-acetylglucosamine (GlcNAc) utilization	no data found	no data found	no data found	reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	aberrant	no data found	no	no data found	no data found	Mitochondria	no data found	no data found	no data found	Gene mutation; gene complementation	no data found		RP	25626172	Pubmed	10.1016/j.fgb.2015.01.006	Fungal Genet Biol. 2015 Jan 24. pii: S1087-1845(15)00009-2	huanggh@im.ac.cn	Deletion ofMCU1also caused defects in utilizing non-fermentable carbon sources and amino acids	G Guan 2015	2015	1 gene	Guan-2015-The mitochondrial protein Mcu1 plays	Batch045A	Feb-15	MC																								
Record 4394	PHI:3655	Uniprot	C1IL67	Genbank	ACF15629	no data found	no data found	no data found	rssC	no data found	no data found	no data found	no data found	no data found	no	615	Serratia marcescens	no data found	CH-1	hospital-acquired infections	Primates	9606	Homo sapiens (related: Human)	Hep-2 cells	no data found	no data found	larynx epithelial cells	Acyltransferase	no data found	no data found	no data found	increased virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	aberrant	no data found	no	no data found	no data found	no data found	no data found	no data found	no data found	Gene disruption	no data found		RP	18445479	Pubmed	10.1016/j.bbrc.2008.04.109	Biochem Biophys Res Commun. 2008 Jul 4;371(3):462-7	pcsoo@saturn.yzu.edu.tw	"The rssCknock-out mutantS. marcescens PC105 showed aberrant and hypervirulent phenotypes including precocious swarming behavior, reduced cell attachment ability and increase in swimming motility, flagellin synthesis, capsular polysaccharide (CPS) production, hemolysin activity, and cytotoxicity activity."	P Soo 2008	2008	1 gene	Soo-2008-A potential acyltransferase regulates	Batch045B	Mar-15	MC																								
Record 4395	PHI:3656			Genbank	KJ831045	no data found	no data found	no data found	UvSUN2	no data found	no data found	no data found	no data found	no data found	no	1159556	Ustilaginoidea virens	no data found	P1	rice false smut disease	Monocots	4530	Oryza sativa (related: Rice)	Lian-gyoupeijiu	no data found	no data found	Leaves	SUN family protein	no data found	no data found	no data found	loss of pathogenicity	no data found	no data found	no data found	no data found	no data found	aberrant	no data found	reduced; aberrant	reduced	no	H2O2; NaCl; Congo Red; SDS	H2O2: CHEBI:16240; Congo Red: CHEBI:34653; SDS: CHEBI:8984; NaCl: CHEBI:26710	no data found	no data found	no data found	no data found	Gene disruption	no data found		RP	25636735	Pubmed	10.1016/j.fgb.2015.01.004	Fungal Genet Biol. 2015 Jan 28;76C:10-19	liuyf@jaas.ac.cn	The mutants are more resistant to stresses.	M Yu 2015	2015	1 gene	Yu-2015-Identification of pathogenicity-relate	Batch045B	Mar-15	MC																								
